t,n,agent,agent_location,agent_label,critical_v,boundary,distance
0,20,15,-0.16045056599416885,1.0,0.3164888335450087,-0.2262546846977859,0.06580411870361705
0,30,15,-0.16045056599416885,1.0,1.0,-0.16523545626916888,0.004784890275000037
0,30,16,-0.12629165522683525,1.0,0.9980754509160761,-0.16523545626916888,0.03894380104233364
0,40,30,-0.08762688091910298,-1.0,0.3383821173629258,-0.07637783607646703,0.011249044842635947
0,70,64,-0.07456670775919058,-1.0,0.4616438837547321,-0.06038155106201604,0.014185156697174545
0,90,64,-0.07456670775919058,-1.0,0.723716841539499,-0.05635302263190621,0.01821368512728437
0,90,7,-0.04156645253773994,1.0,0.8054650200792821,-0.05635302263190621,0.014786570094166271
0,100,8,-0.029723366743573593,1.0,0.5180873206845718,-0.03538425563774685,0.005660888894173259
0,120,40,-0.01572163514172048,-1.0,0.736941324226791,-0.014547054597913825,0.0011745805438066557
0,120,99,-0.012510658265346059,1.0,0.7134531993942801,-0.014547054597913825,0.002036396332567766
0,130,24,-0.021626649994139296,-1.0,0.5536497174325632,-0.019468426418745795,0.002158223575393501
0,140,40,-0.01572163514172048,-1.0,0.4625488250312628,-0.01311182129251602,0.002609813849204461
0,140,99,-0.012510658265346059,1.0,0.520504067564616,-0.01311182129251602,0.0006011630271699608
0,150,40,-0.01572163514172048,-1.0,0.9449676599833765,-0.013111821381833307,0.002609813759887173
0,150,99,-0.012510658265346059,1.0,0.9999999999999998,-0.013111821381833307,0.0006011631164872487
0,160,6,0.015532842490278226,1.0,0.3725732197344769,0.002055238461109598,0.013477604029168628
0,160,66,0.009440335332623423,1.0,0.6123185134783853,0.002055238461109598,0.007385096871513825
0,170,6,0.015532842490278226,1.0,0.086341052694479,0.007998698792136643,0.007534143698141583
0,170,66,0.009440335332623423,1.0,0.30613678114605136,0.007998698792136643,0.00144163654048678
0,190,137,0.023895857903009993,1.0,0.15250416172784753,0.02245342204415692,0.0014424358588530743
0,200,137,0.023895857903009993,1.0,0.9999999999999998,0.021337634250944204,0.0025582236520657886
0,240,75,0.029960321304926485,1.0,0.601092783806962,0.028965825509802583,0.0009944957951239022
0,280,137,0.023895857903009993,1.0,0.09968156737886602,0.021501319054870786,0.0023945388481392063
0,290,6,0.015532842490278226,1.0,0.5195616378478007,0.014629146197823496,0.0009036962924547295
0,320,137,0.023895857903009993,1.0,2.9103830456733704e-11,0.022257339489240024,0.0016385184137699682
0,340,75,0.029960321304926485,1.0,0.05557851966295857,0.028965827831575846,0.000994493473350639
0,350,322,0.03046117394404932,-1.0,0.5828644467546837,0.030634683432988762,0.00017350948893944326
0,370,322,0.03046117394404932,-1.0,2.9103830456733704e-11,0.03194997673269406,0.0014888027886447441
0,380,322,0.03046117394404932,-1.0,0.3699084862382733,0.031949976444547015,0.0014888025004976962
0,390,322,0.03046117394404932,-1.0,0.7907947210842394,0.033104231331912246,0.0026430573878629265
0,420,69,0.04146036636002487,1.0,0.9110508373269113,0.039720422836969894,0.001739943523054975
0,430,1,0.040790040393699684,-1.0,0.5859647565812338,0.043487539743232634,0.0026974993495329502
0,430,41,0.042086668229478125,-1.0,0.6424325020343531,0.043487539743232634,0.0014008715137545091
0,440,69,0.04146036636002487,1.0,0.45957170534529723,0.03972042185914333,0.0017399445008815378
0,450,69,0.04146036636002487,1.0,0.32475157033331925,0.03972042164605442,0.0017399447139704524
0,460,1,0.040790040393699684,-1.0,0.7221548859524773,0.04237175768611629,0.0015817172924166081
0,460,41,0.042086668229478125,-1.0,0.780654336198495,0.04237175768611629,0.00028508945663816704
